id_cliente,sexo,uf,renda,cidade,nome,data_nascimento
1,F,RJ,17706.0,Niterói,Cliente_00001,1956-07-10 19:27:27
2,M,RS,13387.0,Porto Alegre,Cliente_00002,1990-03-06 20:25:22
3,F,SC,16528.0,Joinville,Cliente_00003,1974-03-16 16:54:28
4,F,RJ,17475.0,Niterói,Cliente_00004,1959-04-30 23:57:23
5,F,PR,15339.0,Londrina,Cliente_00005,1972-11-14 13:50:06
6,M,BA,15419.0,Feira de Santana,Cliente_00006,2001-07-20 09:43:16
7,F,PE,6912.0,Caruaru,Cliente_00007,1998-12-28 03:17:26
8,F,PE,5999.0,Petrolina,Cliente_00008,1994-10-22 04:36:20
9,F,SC,6409.0,Joinville,Cliente_00009,1992-11-29 22:51:09
10,M,PE,16978.0,Petrolina,Cliente_00010,2001-01-21 11:44:14
11,F,RJ,12594.0,Campos,Cliente_00011,1983-12-12 17:44:55
12,F,DF,21146.0,Brasília,Cliente_00012,1979-11-22 17:48:07
13,F,PE,20873.0,Petrolina,Cliente_00013,1973-04-21 19:14:42
14,F,SC,9154.0,Florianópolis,Cliente_00014,1996-01-31 23:22:44
15,M,PE,17482.0,Recife,Cliente_00015,1976-04-07 15:26:03
16,F,PE,20108.0,Petrolina,Cliente_00016,2006-04-29 07:31:31
17,M,GO,23260.0,Goiânia,Cliente_00017,1980-11-11 03:12:45
18,M,RJ,4420.0,Niterói,Cliente_00018,1983-04-10 06:34:37
19,M,PR,24425.0,Maringá,Cliente_00019,1972-03-29 18:56:04
20,F,SP,7115.0,Santos,Cliente_00020,2000-11-23 18:39:51
21,M,DF,5815.0,Brasília,Cliente_00021,1966-09-05 20:43:18
22,F,PE,23984.0,Petrolina,Cliente_00022,1967-09-03 09:24:18
23,M,RS,13960.0,Porto Alegre,Cliente_00023,1956-02-21 21:27:56
24,M,PE,4283.0,Recife,Cliente_00024,1960-03-30 16:09:25
25,M,GO,11105.0,Goiânia,Cliente_00025,1961-08-04 05:15:04
26,M,PR,14289.0,Londrina,Cliente_00026,1990-12-18 11:44:35
27,M,RS,13340.0,Porto Alegre,Cliente_00027,1961-06-14 03:00:03
28,M,DF,20692.0,Brasília,Cliente_00028,1964-11-20 21:10:58
29,M,RS,4831.0,Pelotas,Cliente_00029,1955-03-20 23:48:16
30,M,RJ,20062.0,Rio de Janeiro,Cliente_00030,1986-11-15 08:44:50
31,F,SC,18681.0,Florianópolis,Cliente_00031,1971-12-29 14:36:07
32,F,SC,4346.0,Florianópolis,Cliente_00032,1968-04-10 01:01:59
33,M,DF,2429.0,Brasília,Cliente_00033,2001-01-30 06:55:43
34,M,PR,6318.0,Curitiba,Cliente_00034,1973-04-01 15:38:29
35,M,SC,20975.0,Blumenau,Cliente_00035,1990-04-26 03:48:54
36,F,MG,3762.0,Belo Horizonte,Cliente_00036,1968-01-17 17:04:17
37,M,GO,14275.0,Rio Verde,Cliente_00037,1965-01-30 05:13:12
38,F,DF,9049.0,Brasília,Cliente_00038,2005-10-14 07:32:18
39,F,DF,21364.0,Brasília,Cliente_00039,2000-10-11 01:36:17
40,F,SP,21226.0,São Paulo,Cliente_00040,1999-03-24 18:35:11
41,F,SP,23937.0,Campinas,Cliente_00041,1961-06-21 03:07:32
42,F,RJ,10909.0,Niterói,Cliente_00042,2003-01-09 18:03:44
43,M,RJ,11156.0,Campos,Cliente_00043,1979-06-22 02:01:35
44,M,SP,5674.0,Santos,Cliente_00044,1985-01-28 01:27:53
45,M,SC,6270.0,Joinville,Cliente_00045,2000-08-20 01:24:03
46,M,BA,7333.0,Feira de Santana,Cliente_00046,2006-02-20 22:49:19
47,M,DF,24886.0,Brasília,Cliente_00047,1972-12-30 16:36:53
48,F,MG,20177.0,Belo Horizonte,Cliente_00048,1961-08-24 15:27:55
49,M,DF,3545.0,Brasília,Cliente_00049,1969-08-24 11:56:04
50,M,PE,2537.0,Caruaru,Cliente_00050,1985-12-26 16:41:24
51,F,PR,7742.0,Maringá,Cliente_00051,1989-10-29 05:20:12
52,M,GO,11151.0,Rio Verde,Cliente_00052,1988-06-16 08:07:39
53,F,BA,13821.0,Feira de Santana,Cliente_00053,1995-12-31 15:21:48
54,M,MG,7662.0,Juiz de Fora,Cliente_00054,1971-06-15 09:19:13
55,F,PE,5573.0,Recife,Cliente_00055,2000-02-09 07:19:46
56,M,RJ,19167.0,Rio de Janeiro,Cliente_00056,1960-04-30 12:58:58
57,M,MG,17535.0,Uberlândia,Cliente_00057,1977-05-08 09:29:22
58,F,SP,8232.0,Santos,Cliente_00058,1978-04-19 16:31:01
59,F,DF,23829.0,Brasília,Cliente_00059,2004-03-03 11:55:27
60,F,MG,4987.0,Uberlândia,Cliente_00060,2005-07-23 13:17:42
61,F,PR,3684.0,Maringá,Cliente_00061,2002-07-16 02:13:35
62,F,RS,15390.0,Pelotas,Cliente_00062,1997-10-21 01:16:00
63,F,RJ,21071.0,Campos,Cliente_00063,1986-11-24 15:14:29
64,F,GO,10917.0,Goiânia,Cliente_00064,1983-10-22 05:14:58
65,F,GO,6995.0,Rio Verde,Cliente_00065,2007-11-30 05:03:43
66,M,MG,20181.0,Belo Horizonte,Cliente_00066,1963-05-21 08:02:36
67,M,RS,16281.0,Pelotas,Cliente_00067,1987-01-18 23:50:07
68,F,DF,8597.0,Brasília,Cliente_00068,1962-06-04 20:24:02
69,M,PE,9969.0,Caruaru,Cliente_00069,1973-04-19 13:46:22
70,M,BA,13899.0,Salvador,Cliente_00070,1988-08-08 09:11:11
71,M,DF,17702.0,Brasília,Cliente_00071,1969-01-14 04:18:06
72,M,PE,21428.0,Recife,Cliente_00072,1966-05-03 15:45:23
73,F,BA,12485.0,Salvador,Cliente_00073,1964-12-05 04:07:00
74,M,RS,8331.0,Caxias do Sul,Cliente_00074,1978-11-03 13:22:26
75,F,BA,18275.0,Salvador,Cliente_00075,1965-03-07 00:17:45
76,M,DF,2468.0,Brasília,Cliente_00076,2001-05-04 22:53:00
77,M,PR,11882.0,Londrina,Cliente_00077,1989-10-26 20:09:18
78,M,MG,6651.0,Juiz de Fora,Cliente_00078,1998-04-01 15:35:39
79,F,PE,12318.0,Petrolina,Cliente_00079,1973-01-22 16:11:28
80,M,PR,22248.0,Londrina,Cliente_00080,1990-07-27 15:00:30
81,F,PE,21191.0,Recife,Cliente_00081,2001-09-13 08:39:31
82,M,MG,12292.0,Belo Horizonte,Cliente_00082,2007-11-24 17:43:42
83,F,SC,7625.0,Joinville,Cliente_00083,1957-01-08 08:39:44
84,M,BA,5870.0,Vitória da Conquista,Cliente_00084,1972-10-09 04:20:42
85,F,RS,6338.0,Caxias do Sul,Cliente_00085,2003-04-19 15:14:18
86,F,SC,17675.0,Florianópolis,Cliente_00086,1988-03-16 15:50:14
87,M,SC,4634.0,Florianópolis,Cliente_00087,1987-12-10 12:13:10
88,F,GO,14191.0,Goiânia,Cliente_00088,1961-07-28 01:29:50
89,M,SP,11931.0,São Paulo,Cliente_00089,2000-08-17 08:28:35
90,M,DF,13056.0,Brasília,Cliente_00090,1966-09-01 17:30:06
91,M,PR,2554.0,Maringá,Cliente_00091,2007-03-18 01:05:56
92,M,PR,21613.0,Maringá,Cliente_00092,1961-06-21 17:07:37
93,M,PR,4169.0,Maringá,Cliente_00093,1985-06-06 10:48:44
94,M,PR,18159.0,Curitiba,Cliente_00094,2002-02-04 01:26:13
95,M,DF,17581.0,Brasília,Cliente_00095,1978-03-09 06:41:16
96,M,SC,14438.0,Florianópolis,Cliente_00096,1962-11-04 11:22:27
97,M,DF,7217.0,Brasília,Cliente_00097,2005-04-07 05:54:27
98,M,PR,13782.0,Curitiba,Cliente_00098,1963-12-17 01:54:57
99,M,SP,16391.0,Campinas,Cliente_00099,1987-10-26 21:52:51
100,F,RJ,10797.0,Rio de Janeiro,Cliente_00100,1956-10-14 21:01:24
101,F,MG,15701.0,Juiz de Fora,Cliente_00101,2006-06-17 20:46:43
102,M,PR,17789.0,Maringá,Cliente_00102,1963-08-13 19:52:29
103,M,RS,14373.0,Pelotas,Cliente_00103,1998-02-02 16:28:45
104,M,RJ,18012.0,Niterói,Cliente_00104,1966-07-10 06:15:43
105,M,DF,24961.0,Brasília,Cliente_00105,1993-06-20 20:21:14
106,M,RS,22210.0,Pelotas,Cliente_00106,2006-11-20 01:06:28
107,M,RS,21452.0,Caxias do Sul,Cliente_00107,1995-09-15 18:44:31
108,M,PE,14948.0,Caruaru,Cliente_00108,1968-06-17 12:30:08
109,M,RS,16698.0,Caxias do Sul,Cliente_00109,1968-01-01 07:05:50
110,F,PR,9122.0,Curitiba,Cliente_00110,1978-08-26 20:37:32
111,M,PE,9580.0,Recife,Cliente_00111,1979-06-15 14:39:49
112,F,GO,3902.0,Rio Verde,Cliente_00112,1957-05-23 12:42:44
113,M,SC,19531.0,Blumenau,Cliente_00113,1957-04-06 21:14:02
114,M,RS,5056.0,Caxias do Sul,Cliente_00114,2007-03-12 04:06:24
115,F,SP,3693.0,São Paulo,Cliente_00115,1993-12-16 13:20:43
116,M,MG,11739.0,Juiz de Fora,Cliente_00116,1966-12-20 05:54:37
117,F,RS,20988.0,Pelotas,Cliente_00117,1995-04-08 11:52:54
118,M,GO,22239.0,Goiânia,Cliente_00118,1961-02-22 06:03:58
119,M,BA,20018.0,Feira de Santana,Cliente_00119,1987-08-19 21:40:34
120,F,DF,21787.0,Brasília,Cliente_00120,2007-08-11 02:52:13
121,M,DF,21497.0,Brasília,Cliente_00121,1967-10-27 18:03:59
122,F,GO,10083.0,Rio Verde,Cliente_00122,1981-02-13 11:38:30
123,M,BA,20163.0,Vitória da Conquista,Cliente_00123,1959-11-05 17:57:37
124,F,DF,14375.0,Brasília,Cliente_00124,1993-02-08 05:58:40
125,F,DF,12186.0,Brasília,Cliente_00125,1988-08-16 19:17:00
126,M,DF,19036.0,Brasília,Cliente_00126,1995-04-27 18:56:28
127,M,GO,2794.0,Goiânia,Cliente_00127,1986-10-20 06:20:37
128,F,SC,16948.0,Florianópolis,Cliente_00128,1988-05-14 22:34:48
129,M,MG,23173.0,Uberlândia,Cliente_00129,2003-07-25 21:21:52
130,M,GO,11867.0,Anápolis,Cliente_00130,1970-01-25 07:09:14
131,M,BA,21129.0,Vitória da Conquista,Cliente_00131,1964-01-21 20:40:04
132,F,RS,23952.0,Caxias do Sul,Cliente_00132,2001-10-04 16:09:43
133,F,SC,14837.0,Blumenau,Cliente_00133,1984-01-03 23:39:46
134,F,SC,24600.0,Blumenau,Cliente_00134,2003-05-18 21:54:45
135,F,RS,8154.0,Porto Alegre,Cliente_00135,1985-07-06 01:56:50
136,F,SP,20822.0,Santos,Cliente_00136,1969-12-10 09:47:51
137,F,PE,20510.0,Recife,Cliente_00137,2000-03-07 16:45:31
138,F,MG,18833.0,Juiz de Fora,Cliente_00138,1990-08-21 16:23:22
139,F,MG,14193.0,Juiz de Fora,Cliente_00139,1967-05-01 21:36:26
140,F,SP,10741.0,Santos,Cliente_00140,2003-03-15 20:52:51
141,M,PE,5575.0,Caruaru,Cliente_00141,1965-07-18 12:26:09
142,F,MG,14151.0,Uberlândia,Cliente_00142,1982-02-03 14:53:18
143,M,BA,10775.0,Salvador,Cliente_00143,1959-09-07 05:50:33
144,M,RJ,14338.0,Campos,Cliente_00144,1989-09-12 02:16:14
145,M,RJ,3158.0,Rio de Janeiro,Cliente_00145,1990-01-17 15:47:24
146,F,MG,8432.0,Belo Horizonte,Cliente_00146,1963-03-30 22:55:10
147,F,PR,15748.0,Maringá,Cliente_00147,1982-08-28 12:06:10
148,F,MG,8459.0,Uberlândia,Cliente_00148,1966-01-14 14:58:59
149,F,RS,19701.0,Caxias do Sul,Cliente_00149,2005-02-07 20:20:03
150,M,RS,9882.0,Porto Alegre,Cliente_00150,1991-02-19 21:44:00
151,F,PE,18344.0,Caruaru,Cliente_00151,1993-04-21 19:47:59
152,F,DF,16499.0,Brasília,Cliente_00152,1983-09-04 15:11:53
153,F,SC,23899.0,Blumenau,Cliente_00153,1956-12-30 17:00:23
154,F,BA,7876.0,Vitória da Conquista,Cliente_00154,1965-10-30 09:56:38
155,F,SP,20405.0,Campinas,Cliente_00155,1976-11-04 02:19:17
156,M,MG,4976.0,Uberlândia,Cliente_00156,1984-01-06 05:43:30
157,F,DF,20589.0,Brasília,Cliente_00157,1955-01-06 11:30:59
158,M,DF,5866.0,Brasília,Cliente_00158,1963-06-09 17:40:31
159,F,BA,17706.0,Salvador,Cliente_00159,1963-08-01 15:45:05
160,M,SP,13958.0,Campinas,Cliente_00160,1959-08-11 20:27:02
161,F,RS,1527.0,Porto Alegre,Cliente_00161,2006-07-09 09:45:01
162,F,GO,22115.0,Rio Verde,Cliente_00162,2001-05-27 15:25:34
163,M,BA,,Vitória da Conquista,Cliente_00163,1981-04-16 08:10:49
164,M,DF,8048.0,Brasília,Cliente_00164,1974-09-25 18:41:04
165,M,RJ,4524.0,Campos,Cliente_00165,1985-06-11 07:39:01
166,F,MG,2764.0,Uberlândia,Cliente_00166,1962-06-08 05:52:51
167,M,PE,10547.0,Caruaru,Cliente_00167,1979-04-18 13:01:43
168,F,RJ,13717.0,Niterói,Cliente_00168,1986-03-29 03:24:08
169,F,DF,8087.0,Brasília,Cliente_00169,1984-03-30 11:19:49
170,M,SC,8077.0,Florianópolis,Cliente_00170,1956-09-04 22:33:51
171,M,PR,19135.0,Curitiba,Cliente_00171,2002-05-10 08:43:09
172,F,SP,14296.0,São Paulo,Cliente_00172,1999-04-18 17:57:43
173,F,RS,5370.0,Pelotas,Cliente_00173,1956-08-30 21:11:32
174,M,MG,2826.0,Belo Horizonte,Cliente_00174,1976-05-30 13:43:00
175,M,PE,24061.0,Caruaru,Cliente_00175,1972-05-24 16:23:50
176,M,GO,10717.0,Anápolis,Cliente_00176,1955-12-30 21:19:37
177,F,RS,18245.0,Pelotas,Cliente_00177,1967-07-20 07:06:02
178,F,MG,19102.0,Uberlândia,Cliente_00178,1979-10-05 23:27:50
179,F,GO,2105.0,Anápolis,Cliente_00179,1958-09-01 22:16:43
180,F,PE,23843.0,Caruaru,Cliente_00180,1971-03-08 02:23:05
181,F,DF,19554.0,Brasília,Cliente_00181,1967-05-01 11:20:01
182,F,PR,14503.0,Curitiba,Cliente_00182,1997-01-17 21:58:15
183,M,RJ,11989.0,Rio de Janeiro,Cliente_00183,1976-05-03 15:26:24
184,F,RJ,22327.0,Niterói,Cliente_00184,1993-01-29 07:35:43
185,F,DF,19161.0,Brasília,Cliente_00185,1973-07-19 23:12:28
186,F,RS,18282.0,Caxias do Sul,Cliente_00186,2001-06-27 12:51:09
187,M,DF,14987.0,Brasília,Cliente_00187,1990-04-25 02:43:29
188,F,DF,20056.0,Brasília,Cliente_00188,1984-09-24 14:13:46
189,F,MG,20694.0,Uberlândia,Cliente_00189,1990-01-11 14:32:03
190,M,MG,16233.0,Uberlândia,Cliente_00190,2005-08-04 02:48:58
191,F,PE,7774.0,Recife,Cliente_00191,2005-01-20 00:46:48
192,F,PR,,Maringá,Cliente_00192,1970-04-04 23:44:10
193,F,MG,12344.0,Uberlândia,Cliente_00193,1984-08-29 21:01:44
194,F,PE,20823.0,Recife,Cliente_00194,2006-03-12 05:41:49
195,F,SC,14689.0,Joinville,Cliente_00195,1962-01-24 17:33:54
196,M,DF,18828.0,Brasília,Cliente_00196,1958-09-06 03:10:20
197,M,DF,12471.0,Brasília,Cliente_00197,1989-12-28 04:58:53
198,M,RS,7465.0,Pelotas,Cliente_00198,1967-03-26 11:38:52
199,F,SC,14121.0,Florianópolis,Cliente_00199,1999-03-07 13:56:12
200,F,RS,7848.0,Porto Alegre,Cliente_00200,1998-10-30 07:47:21
201,F,GO,24983.0,Rio Verde,Cliente_00201,1993-01-01 21:17:02
